Frame,Time,X,Y
1,0,-1,-1
2,0.013,-1,-1
3,0.027,19.1,14
4,0.04,19.4,14.3
5,0.053,-1,-1
6,0.067,45.2,12.7
7,0.08,19.1,14.1
8,0.093,19.1,14
9,0.107,45.2,12.7
10,0.12,19.5,14.5
11,0.133,45.2,12.7
12,0.147,-1,-1
13,0.16,45.2,12.7
14,0.173,-1,-1
15,0.187,45.2,12.7
16,0.2,-1,-1
17,0.213,-1,-1
18,0.227,-1,-1
19,0.24,-1,-1
20,0.253,45.7,12.7
21,0.267,-1,-1
22,0.28,-1,-1
23,0.293,-1,-1
24,0.307,-1,-1
25,0.32,-1,-1
26,0.333,45.7,12.7
27,0.347,45.6,12.7
28,0.36,29.7,13.7
29,0.373,19.2,14.1
30,0.387,19.3,14.3
31,0.4,18.9,13.9
32,0.413,-1,-1
33,0.427,-1,-1
34,0.44,45.4,12.9
35,0.453,19.4,14.3
36,0.467,30.6,13.7
37,0.48,-1,-1
38,0.493,45.4,13
39,0.507,-1,-1
40,0.52,45.4,12.9
41,0.533,45.5,13
42,0.547,45.5,13
43,0.56,45.5,13
44,0.573,-1,-1
45,0.587,45.2,13.1
46,0.6,45.2,13
47,0.613,29.8,13.7
48,0.627,45.2,13
49,0.64,45.4,13
50,0.653,45.5,13
51,0.667,45.4,13.1
52,0.68,45.5,12.9
53,0.693,45.5,13
54,0.707,45.5,12.9
55,0.72,45.5,13
56,0.733,45.5,13
57,0.747,45.4,13.1
58,0.76,-1,-1
59,0.773,45.5,12.9
60,0.787,45.5,13.1
61,0.8,45.5,13
62,0.813,46.2,12.8
63,0.827,46.3,12.9
64,0.84,45.4,13
65,0.853,45.2,13.3
66,0.867,45.4,13.2
67,0.88,45.5,13
68,0.893,45.4,13
69,0.907,45.2,13
70,0.92,-1,-1
71,0.933,45.2,12.7
72,0.947,45.2,12.7
73,0.96,45.2,12.7
74,0.973,45.6,12.7
75,0.987,-1,-1
76,1,30.8,13.1
77,1.013,28.8,13.9
78,1.027,29.9,14.2
79,1.04,31,14.3
80,1.053,30.8,14.4
81,1.067,31.2,14.4
82,1.08,30.8,14.4
83,1.093,30.7,14.5
84,1.107,31,14.6
85,1.12,31,14.7
86,1.133,30.9,14.9
87,1.147,31.1,15
88,1.16,31.5,15.4
89,1.173,31.7,15.7
90,1.187,31.7,16.1
91,1.2,31.8,16.3
92,1.213,31.6,16.7
93,1.227,31.7,17.2
94,1.24,31.8,17.6
95,1.253,31.6,18.1
96,1.267,31.7,18.6
97,1.28,31.5,19.2
98,1.293,31.6,19.8
99,1.307,31.2,20.4
100,1.32,30.9,21.4
101,1.333,31,22.2
102,1.347,30.5,23.3
103,1.36,30.5,24.2
104,1.373,30.9,25.6
105,1.387,30.5,26.4
106,1.4,30.3,27.3
107,1.413,30.3,28.5
108,1.427,29.7,28.4
109,1.44,29.9,28.2
110,1.453,29.6,28.4
111,1.467,29.2,28.5
112,1.48,30.4,27.8
113,1.493,29.6,27.8
114,1.507,31.6,26.9
115,1.52,32.8,26.1
116,1.533,35.1,24.9
117,1.547,37.4,23.3
118,1.56,36.8,22
119,1.573,35.3,21.2
120,1.587,35,20.5
121,1.6,34.6,20.2
122,1.613,34.9,19.8
123,1.627,35.3,19.4
124,1.64,35.6,18.9
125,1.653,36.5,18.4
126,1.667,38,17.9
127,1.68,38.4,17.5
128,1.693,38.4,17.1
129,1.707,37.3,17
130,1.72,37,16.9
131,1.733,36.3,16.9
132,1.747,37.6,16.9
133,1.76,38.1,16.8
134,1.773,38.1,17
135,1.787,37.7,17.1
136,1.8,37.4,17
137,1.813,37.6,17.1
138,1.827,37.4,17.1
139,1.84,36.8,17.2
140,1.853,37.3,17.5
141,1.867,37.4,17.7
142,1.88,37.1,18
143,1.893,37,18.1
144,1.907,36.3,18.3
145,1.92,36.5,18.5
146,1.933,36.3,18.8
147,1.947,36.3,18.9
148,1.96,36.2,19
149,1.973,36,19.2
150,1.987,35.5,19.3
151,2,34.1,19.3
152,2.013,33.7,19.4
153,2.027,34,19.2
154,2.04,34.1,18.8
155,2.053,34,18.7
156,2.067,33.9,18.4
157,2.08,33.7,18.2
158,2.093,33.3,17.8
159,2.107,33.2,17.7
160,2.12,33,17.3
161,2.133,32.8,17
162,2.147,32.7,16.7
163,2.16,32.5,16.4
164,2.173,32.5,16
165,2.187,32.8,15.7
166,2.2,33,15.3
167,2.213,32.8,15.2
168,2.227,33,15
169,2.24,33.1,14.8
170,2.253,33.2,14.5
171,2.267,33.7,14.4
172,2.28,33.9,14.3
173,2.293,34.8,14.1
174,2.307,34.3,14.2
175,2.32,35.9,14
176,2.333,35.9,13.9
177,2.347,36.1,13.9
178,2.36,37,13.9
179,2.373,37.5,13.7
180,2.387,39.1,13.7
181,2.4,39.1,13.6
182,2.413,36.9,13.7
183,2.427,38.1,13.4
184,2.44,37.4,13.6
185,2.453,36.9,13.6
186,2.467,38.1,13.6
187,2.48,38.8,13.5
188,2.493,40.9,13.5
189,2.507,42.5,13.4
190,2.52,42.5,13.4
191,2.533,43.2,13.5
192,2.547,42.9,13.4
193,2.56,40.6,13.5
194,2.573,39.4,13.6
195,2.587,39.7,13.5
196,2.6,39.5,13.5
197,2.613,40.4,13.6
198,2.627,39.5,13.5
199,2.64,39.5,13.5
200,2.653,38.4,13.7
201,2.667,38.3,13.6
202,2.68,39.9,13.4
203,2.693,38.7,13.6
204,2.707,37.5,13.7
205,2.72,38.3,13.5
206,2.733,39.6,13.4
207,2.747,39.5,13.2
208,2.76,36.9,13.3
209,2.773,38.7,13.2
210,2.787,41.7,13.1
211,2.8,42.5,13.1
212,2.813,46.4,13
213,2.827,39.1,13.3
214,2.84,36.3,13.6
215,2.853,34.7,13.7
216,2.867,33.8,13.8
217,2.88,32.6,14
218,2.893,33,14.1
219,2.907,32.8,14.3
220,2.92,33,14.3
221,2.933,32.3,14.4
222,2.947,32.1,14.4
223,2.96,31.7,14.5
224,2.973,31.9,14.5
225,2.987,31.5,14.6
226,3,31.7,14.7
227,3.013,31.7,14.9
