Points Used, Total X Movement (cm), Total Y Movement (cm), Total R Movement (cm), Original Number of Points
794,202.95501651827192,135.9413891767257,275.7063935304085,875
Time (s), X (cm), Y (cm), R (cm)
1.0,32.49809390618439,13.528710920561172,35.201592672879016
1.013,31.572209611730848,13.693996392749524,34.414095324034115
1.027,30.824886361461054,13.870891765874305,33.80200079252096
1.04,30.301204461636146,14.047690281166973,33.39911067770325
1.053,30.01908981096721,14.214194457026704,33.21429025496532
1.067,29.968483629541147,14.363600469409453,33.232860687862775
1.08,30.114266784211893,14.493929548646014,33.42069804345507
1.093,30.402433250470462,14.608680340315898,33.73012731720478
1.107,30.768543410260083,14.716511857935524,34.10687591753041
1.12,31.147172097648795,14.82995806492724,34.49744897652654
1.133,31.480944769900354,14.963383355588556,34.8561719793184
1.147,31.72784527592225,15.130567105387492,35.150963383433684
1.16,31.865766336253863,15.342411845828707,35.366886567010035
1.173,31.89371535147686,15.605273493898459,35.506811173919864
1.187,31.829616373163628,15.920304472998502,35.58905130761063
1.2,31.70518308130671,16.283997107983133,35.642491439740574
1.213,31.55879466486863,16.689853687767084,35.700262419461474
1.227,31.427614585875492,17.130845016073184,35.79330676988441
1.24,31.340301402099463,17.602109663994472,35.945079727241186
1.253,31.311551673341615,18.103241955699673,36.16822690565501
1.267,31.339402444213142,18.639548717986575,36.463556079605674
1.28,31.40575293725318,19.221826154758684,36.8211884419766
1.293,31.480016362080335,19.864492122422146,37.22350705452963
1.307,31.525272732223932,20.582253026147868,37.6493288183664
1.32,31.505852716966114,21.38582001514916,38.07849856734789
1.333,31.39501707307981,22.27744537648935,38.495865615952056
1.347,31.181354795059384,23.24716882296055,38.893543746213226
1.36,30.87271771747866,24.270611867143938,39.27069263036583
1.373,30.49691175006052,25.308937033679936,39.630845563345666
1.387,30.098910511905366,26.311232146261535,39.977810733682674
1.4,29.734954632949435,27.219151830796626,40.311905851888476
1.413,29.464446799079344,27.973228877207752,40.62825567252951
1.427,29.340952455386514,28.519938352188785,40.917946852229775
1.44,29.403796231161348,28.81842321229407,41.171406937904706
1.453,29.671669034448758,28.845808709747015,41.38222593589163
1.467,30.13933926647916,28.600244536590186,41.549413461235396
1.48,30.778046541892166,28.101181613008357,41.6769067588054
1.493,31.539535870141457,27.38684758183578,41.77058466642099
1.507,32.36307280421049,26.509347055420328,41.83436341855044
1.52,33.18427479097394,25.52819439152091,41.86746711104158
1.533,33.944291042567976,24.503319124783932,41.86439468705552
1.547,34.597817125095446,23.488627376765198,41.817754194433626
1.56,35.11864944416492,22.527053611603815,41.72274779065034
1.573,35.50192914592913,21.6477297480931,41.58138016383111
1.587,35.76281383766528,20.86549600126888,41.40468303183192
1.6,35.93194185652619,20.182559254197763,41.2121358780394
1.613,36.04860398935289,19.591749703277298,41.02850845469593
1.627,36.152912643442825,19.080598776299063,40.87911865814273
1.64,36.27839267041897,18.635396873724478,40.784798533158515
1.653,36.446290842406775,18.244490339338874,40.75774213461209
1.667,36.662540747682435,17.900312233890258,40.79905724580209
1.68,36.91779812766764,17.599954674387515,40.8984379058139
1.693,37.19037910911536,17.34441277022646,41.03599581615778
1.707,37.451400793261286,17.136894739476705,41.185926998058406
1.72,37.67103918359239,16.980748757928904,41.32133857405466
1.733,37.824652190482674,16.877579440011257,41.41928296198374
1.747,37.89759126954353,16.82602040814654,41.464953717672785
1.76,37.887822854240774,16.82142641582147,41.454161519649944
1.773,37.80593676888444,16.856500364610092,41.393604089460354
1.787,37.672640941996114,16.92263585446806,41.29895252675895
1.8,37.51432727697834,17.01158722397691,41.19124726107739
1.813,37.357649616315406,17.117011699773784,41.09240896303821
1.827,37.224216227373496,17.235473241812027,41.020772928011425
1.84,37.12644077965426,17.366640053838683,40.98747115552225
1.853,37.06533569489147,17.512611068886315,40.994275900728816
1.867,37.03062722503869,17.676521912701123,41.033239935569064
1.88,37.003106338469806,17.86075759004718,41.0881557189725
1.893,36.95869637296764,18.065197291824582,41.13753262875348
1.907,36.873400947395076,18.28591507208691,41.158503221702944
1.92,36.72815174150163,18.514660681755494,41.13088608949863
1.933,36.5126272472994,18.73927171993608,41.04061711394977
1.947,36.227343113905,18.944961800754342,40.88192714054269
1.96,35.88367066084445,19.11623667101545,40.65794294548391
1.973,35.50184825112566,19.239054158794055,40.379728010116224
1.987,35.10742917272199,19.302793882425835,40.064066628153306
2.0,34.72688749180425,19.30164829351448,39.730471199256634
2.013,34.383231167912925,19.23517577119688,39.39795137434151
2.027,34.09243237913077,19.10793865714283,39.08205809896323
2.04,33.861294738241924,18.928342740109702,38.7926467289505
2.053,33.68708052354639,18.70695666731741,38.53270846894609
2.067,33.55888076946559,18.454685174379303,38.29848408729336
2.08,33.460394118028596,18.18117981686189,38.080878063233634
2.093,33.37354475347124,17.893795710622165,37.86794705744462
2.107,33.28225374027692,17.59726237509592,37.64800203370882
2.12,33.175694028911074,17.294064984236364,37.4127165276583
2.133,33.05049347752255,16.985369131163203,37.159627065265774
2.147,32.91156749773021,16.67220446083754,36.893545190746075
2.16,32.77151614445076,16.356575668901748,36.62662744532324
2.173,32.64876073288015,16.042201934999945,36.37710571659286
2.187,32.564781665035994,15.734687936541652,36.16691042032501
2.2,32.54092663507282,15.441075516923744,36.01858852576727
2.213,32.59527959913895,15.168879713692137,35.952011959200625
